dDisplacement_nm_ori     dForce
3922.737     7756.7117
3933.001     7778.2503
3937.958     7788.5337
3943.162     7798.3781
3948.202     7808.6301
3958.275     7828.1621
3963.222     7837.7557
3968.261     7848.5407
3978.392     7870.2047
3983.426     7881.5853
3988.434     7892.7779
3998.467     7914.3478
4003.558     7924.6312
4008.541     7934.7264
4018.599     7954.9796
4023.685     7963.0056
4028.899     7973.0381
4033.887     7983.635
4044.135     8003.167
4048.912     8012.5098
4054.044     8024.5802
4061.737     8036.149
4059.613     8031.697
4057.053     8026.3046
4054.44     8022.2602
4048.707     8009.312
4045.812     8003.167
4043.122     7996.3637
4036.206     7982.1928
4033.141     7973.9473
4029.963     7966.6737
4023.371     7951.5309
4020.028     7947.6119
4016.624     7940.0248
4010.124     7929.428
4006.695     7924.0041
4003.383     7918.2354
3999.83     7910.9932
3993.129     7897.5433
3989.566     7892.1822
3986.213     7884.1248
3975.815     7868.2922
3972.298     7859.9214
3968.812     7853.2748
3961.823     7841.5806
3958.27     7834.1817
3955.092     7824.9329
3951.513     7819.1956
3944.319     7804.1468
3940.714     7796.9986
3937.279     7789.3801
3930.085     7774.9584
3926.784     7768.5627
3923.138     7762.888
3916.042     7748.6857
3912.319     7742.5094
3908.899     7735.518
3905.506     7728.119
3898.497     7712.067
3894.938     7705.7339
3891.539     7701.3134
3884.155     7682.471
3880.725     7674.0061
3877.182     7667.6103
3869.983     7655.0383
3866.389     7648.5172
3862.727     7640.4912
3859.4     7633.1235
3852.145     7619.9872
3848.653     7612.7136
3844.94     7607.1017
3837.89     7586.2528
3834.255     7578.3522
3831.031     7569.8245
3823.549     7556.0612
3819.954     7548.6935
3816.236     7540.5421
3809.15     7525.3679
3805.432     7518.3765
3801.817     7510.6013
3798.238     7504.2996
3791.086     7490.8811
3787.373     7482.7297
3783.65     7475.3934
3776.399     7462.5392
3772.707     7455.1716
3769.277     7447.6472
3762.052     7434.8243
3758.422     7427.9583
3754.586     7420.2145
3750.966     7411.6555
3743.71     7398.7072
3740.141     7391.1828
3736.382     7385.3828
3729.106     7371.1805
3725.321     7364.8475
3721.814     7356.7901
3714.338     7344.1867
3710.769     7335.6904
3707.005     7328.4168
3703.194     7319.6697
3695.939     7305.6242
3692.257     7297.5668
3688.596     7290.6694
3681.144     7276.1223
3677.545     7270.6044
3673.75     7260.9167
3666.361     7243.1717
3662.53     7235.2711
3658.92     7228.8753
3651.556     7212.353
3647.884     7205.1735
3643.94     7199.7497
3640.274     7192.7896
3632.689     7176.33
3629.383     7169.7148
3625.531     7162.2217
3617.952     7149.6184
3614.136     7141.8745
3610.398     7133.4723
3606.772     7125.6344
3599.229     7109.3315
3595.413     7101.1801
3591.546     7093.3108
3584.121     7079.8923
3580.439     7073.3712
3577.076     7066.9441
3569.069     7052.1774
3565.346     7043.5871
3561.433     7036.8151
3557.906     7030.8583
3550.177     7015.8409
3546.474     7007.3759
3542.546     6999.8202
3535.141     6985.4925
3531.212     6975.8989
3527.464     6966.5561
3519.843     6950.504
3516.063     6943.3559
3512.299     6936.6466
3508.509     6927.9622
3500.914     6912.7253
3497.078     6905.5771
3493.355     6899.9025
3485.786     6885.324
3482.001     6876.9531
3478.031     6868.8016
3470.446     6854.5993
3466.554     6846.1658
3463.021     6838.2965
3455.287     6821.7742
3451.543     6813.7168
3443.83     6806.1611
3440.153     6799.1383
3432.538     6779.5121
3428.63     6773.2418
3424.701     6765.9369
3417.245     6750.794
3413.46     6741.5767
3409.67     6734.3344
3401.823     6719.7559
3398.059     6709.8801
3394.166     6700.5687
3390.536     6692.8248
3382.761     6678.0269
3378.997     6670.2203
3375.13     6663.0721
3367.545     6648.3682
3363.591     6639.3389
3359.78     6631.9713
3351.902     6618.3333
3348.143     6608.583
3344.323     6599.7418
3336.722     6587.7028
3332.711     6578.9556
3328.824     6569.6756
3325.044     6562.6841
3317.398     6546.9143
3313.541     6541.0201
3309.515     6532.8687
3301.699     6517.1615
3297.796     6508.6339
3294.201     6501.9873
3286.231     6487.785
3282.636     6479.1633
3278.631     6471.5135
3274.501     6463.8324
3266.685     6450.1944
3262.859     6441.4473
3258.92     6432.7943
3251.109     6416.6482
3247.134     6409.0297
3243.386     6401.1604
3239.565     6392.6014
3231.574     6376.2045
3227.681     6368.9936
3223.686     6361.4065
3215.947     6344.1004
3212.008     6336.7014
3208.156     6329.9922
3200.031     6314.7866
3196.319     6307.6071
3192.236     6299.6124
3188.364     6291.3983
3180.45     6274.8446
3176.506     6265.8781
3172.562     6256.4412
3164.761     6244.0573
3160.652     6234.5578
3156.687     6226.1555
3148.681     6208.3478
3144.886     6202.0148
3140.926     6195.3055
3136.818     6187.0914
3128.683     6170.6631
3124.626     6163.1074
3120.928     6156.1159
3112.747     6140.4401
3108.782     6133.6368
3104.597     6126.8335
3096.755     6109.0571
3092.692     6101.8462
3088.815     6093.6948
3080.623     6075.2914
3076.7     6066.4502
3072.596     6058.4242
3068.704     6050.6176
3060.589     6035.1299
3056.625     6027.9504
3052.609     6018.9211
3044.684     6000.7372
3040.529     5992.9306
3036.467     5986.1273
3028.414     5970.8904
3024.48     5961.9238
3020.48     5952.8945
3016.309     5944.8058
3008.282     5929.5376
3004.122     5913.8304
3000.209     5906.1179
2992.105     5889.1566
