dDisplacement_nm_ori     dForce
3993.788     7917.9219
3990.301     7910.2721
3986.835     7903.5315
3979.975     7890.5206
3976.515     7882.2437
3973.244     7874.8447
3966.205     7862.21
3962.749     7854.5916
3959.139     7847.6942
3952.197     7835.373
3948.68     7827.1275
3945.24     7820.0734
3941.589     7816.8128
3934.539     7801.0743
3930.898     7794.3651
3927.545     7787.2482
3920.341     7764.048
3916.947     7757.3074
3913.296     7749.3754
3906.328     7735.0477
3902.646     7726.7709
3899.073     7718.6195
3895.571     7713.1329
3888.305     7701.0312
3884.839     7695.1371
3881.121     7689.5878
3873.953     7672.4071
3870.338     7666.2309
3866.964     7659.3962
3863.267     7651.7151
3856.371     7637.0111
3852.643     7632.1516
3848.776     7625.3483
3841.531     7607.5719
3838.024     7600.9881
3834.342     7593.2442
3830.65     7586.002
3823.435     7573.8062
3819.928     7565.1531
3816.437     7558.2871
3809.299     7543.7086
3805.448     7537.6577
3801.565     7529.1928
3794.366     7516.8089
3790.669     7507.6542
3787.069     7500.1925
3779.757     7483.9524
3776.276     7475.5188
3772.491     7465.8625
3768.902     7457.2408
3761.471     7442.2233
3758.093     7435.8589
3754.283     7428.5227
3747.017     7414.5398
3743.18     7407.3603
3739.488     7399.9299
3732.027     7385.759
3728.602     7378.5481
3724.895     7372.8108
3717.438     7357.8247
3713.592     7350.6452
3709.915     7342.6191
3702.665     7328.2287
3699.003     7320.5789
3695.342     7313.4621
3691.455     7304.0566
3684.142     7290.6694
3680.419     7285.0575
3676.815     7278.505
3669.158     7262.7038
3665.486     7256.9664
3661.738     7250.1945
3658.205     7242.8895
3650.553     7227.6526
3646.897     7219.5326
3643.143     7210.033
3635.764     7195.235
3631.897     7187.5539
3628.138     7177.3646
3620.579     7162.598
3616.846     7155.5125
3613.257     7149.3676
3605.692     7136.4507
3601.877     7129.6474
3598.03     7120.4613
3594.349     7112.5294
3586.769     7101.8698
3583.123     7092.6524
3579.266     7083.4664
3571.759     7066.317
3567.835     7058.3851
3564.375     7051.6445
3560.554     7042.4271
3552.897     7027.7545
3548.994     7020.8571
3545.179     7012.643
3537.712     6998.2526
3534.015     6991.7942
3530.225     6985.3671
3522.517     6964.3928
3518.701     6957.0879
3514.942     6949.9711
3507.362     6933.6369
3503.506     6925.6422
3499.788     6917.0832
3495.88     6910.2172
3488.439     6895.0116
3484.531     6887.017
3480.787     6878.9282
3469.408     6863.5973
3465.448     6855.0069
3461.633     6847.1063
3458.105     6839.3311
3450.119     6824.0942
3446.298     6817.2909
3442.375     6810.707
3434.677     6794.9372
3430.753     6787.7576
3426.979     6781.1111
3419.291     6763.7423
3415.496     6756.939
3411.48     6749.6654
3403.793     6732.9236
3399.864     6725.2111
3396.244     6715.2413
3392.284     6705.7417
3384.484     6690.4421
3380.437     6681.9458
3376.57     6673.669
3368.975     6662.884
3365.468     6656.4569
3361.374     6649.1206
3357.168     6643.1011
3349.48     6625.262
3345.639     6618.4901
3341.839     6610.4327
3333.858     6595.6974
3329.986     6587.8282
3326.011     6579.1124
3318.385     6563.5933
3314.379     6554.6581
3310.548     6546.0991
3302.614     6533.5585
3298.901     6526.4416
3294.89     6517.7259
3287.033     6500.9214
3282.919     6492.7386
3279.098     6485.8099
3275.293     6479.665
3267.513     6461.6064
3263.492     6452.295
3259.537     6445.6171
3251.69     6428.311
3247.828     6422.072
3244.157     6414.9552
3236.017     6400.2199
3231.99     6392.3193
3227.902     6384.2932
3224.174     6376.8316
3216.224     6361.4065
3212.296     6354.0076
3208.166     6347.2669
3200.432     6329.3965
3196.35     6322.6559
3192.519     6314.3164
3184.384     6297.8567
3180.542     6287.6361
3176.521     6279.0458
3168.648     6263.6521
3164.56     6255.6261
3160.652     6248.6347
3156.734     6241.1103
3148.887     6226.8139
3144.85     6218.3803
3140.926     6210.1662
